conversation_utterance_id,conversation_id,utterance_id,utterance,rank,score,passage,passage_id
31_1,31,1,What is throat cancer?,1.0,0.994944155216217,"What is throat cancer? Throat cancer is any cancer that forms in the throat. The throat, also called the pharynx, is a 5-inch-long tube that runs from your nose to your neck. The larynx (voice box) and pharynx are the two main places throat cancer forms. Throat cancer is a type of head and neck cancer, which includes cancer of the mouth, tonsils, nose, sinuses, salivary glands and neck lymph nodes.",MARCO_3878347
31_1,31,1,What is throat cancer?,2.0,0.9947999715805054,"What is throat cancer? Throat cancer is any cancer that forms in the throat. The throat, also called the pharynx, is a 5-inch-long tube that runs from your nose to your neck. The larynx (voice box) and pharynx are the two main places throat cancer forms. Throat cancer is a type of head and neck cancer, which includes cancer of the mouth, tonsils, nose, sinuses, salivary glands and neck lymph nodes. Learn about the types of throat cancer.",MARCO_789620
31_1,31,1,What is throat cancer?,3.0,0.9947874546051024,"Throat cancer is a general term that usually refers to cancer of the pharynx and/or larynx. Regions included when considering throat cancer include the nasopharynx, oropharynx, hypopharynx, glottis, supraglottis and subglottis; about half of throat cancers develop in the larynx and the other half in the pharynx.",MARCO_2954451
31_1,31,1,What is throat cancer?,4.0,0.9937817454338074,"Throat cancer, also known as laryngeal cancer, is the uncontrolled growth of abnormal cells in the larynx, leading to the formation of a tumour. Most throat cancers start in the area of the larynx where the vocal cords are located.",MARCO_2715451
31_1,31,1,What is throat cancer?,5.0,0.9934940934181212,"Throat cancer refers to cancer of the voice box, the vocal cords, and other parts of the throat, such as the tonsils and oropharynx. Throat cancer is often grouped into two categories: pharyngeal cancer and laryngeal cancer. Pharyngeal cancer forms in the pharynx. This is the hollow tube that runs from behind your nose to the top of your windpipe. Laryngeal cancer forms in the larynx, which is your voice box. Throat cancer is relatively uncommon when compared to other cancers.",MARCO_8046971
31_1,31,1,What is throat cancer?,6.0,0.9928225874900818,"Mouth cancer. Mouth cancer, also known as oral cancer, is where a tumour develops in the lining of the mouth. It may be on the surface of the tongue, the insides of the cheeks, the roof of the mouth (palate), or the lips or gums. Tumours can also develop in the glands that produce saliva, the tonsils at the back of the mouth, and the part of the throat connecting your mouth to your windpipe (pharynx).",MARCO_274863
31_1,31,1,What is throat cancer?,7.0,0.9924875497817992,"Throat or larynx cancer. Throat cancer is cancer of the vocal cords, larynx (voice box), or other areas of the throat. People who smoke or use tobacco are at risk of developing throat cancer. Drinking too much alcohol over a long time also increases risk. Smoking and drinking alcohol combined lead to an increased risk for throat cancer.",MARCO_3990603
31_1,31,1,What is throat cancer?,8.0,0.9916704893112184,"Throat cancer is a type of head and neck cancer. Throat cancer has different names, depending on what part of the throat is affected. The different parts of the throat are called the oropharynx, the hypopharynx, and the nasopharynx. Sometimes the larynx, or voice box, is also included. The main risk factors for throat cancer are smoking or using smokeless tobacco and use of alcohol. Treatments include surgery, radiation therapy, and chemotherapy.",MARCO_291003
31_1,31,1,What is throat cancer?,9.0,0.9916254878044128,"Throat or larynx cancer. Throat cancer is cancer of the vocal cords, larynx (voice box), or other areas of the throat. People who smoke or use tobacco are at risk of developing throat cancer. Drinking too much alcohol over a long time also increases risk. Smoking and drinking alcohol combined lead to an increased risk for throat cancer. Most throat cancers develop in adults older than 50.",MARCO_5990560
31_2,31,2,Is throat cancer treatable?,1.0,0.9942883253097534,Surgery for early-stage throat cancer. Throat cancer that is confined to the surface of the throat or the vocal cords may be treated surgically using endoscopy. Your doctor may insert a hollow endoscope into your throat or voice box and then pass special surgical tools or a laser through the scope.,MARCO_7972825
31_2,31,2,Is throat cancer treatable?,2.0,0.9918805956840516,"Options may include: 1  Surgery for early-stage throat cancer. Throat cancer that is confined to the surface of the throat or the vocal cords may be treated surgically using endoscopy. 2  Surgery to remove all or part of the voice box (laryngectomy). For smaller tumors, your doctor may remove the part of your voice box that is affected by cancer, leaving as much of the voice box as possible. Your doctor may be able to preserve your ability to speak and breathe normally.",MARCO_7972827
31_2,31,2,Is throat cancer treatable?,3.0,0.9917420148849488,"Throat cancers may be cured when detected early. If the cancer has spread (metastasized) to surrounding tissues or lymph nodes in the neck, about half of patients can be cured. If the cancer has spread to parts of the body outside the head and neck, the cancer is not curable. Treatment is aimed at prolonging and improving quality of life. After treatment, therapy is needed to help with speech and swallowing.",MARCO_3581481
31_2,31,2,Is throat cancer treatable?,4.0,0.9912142753601074,"Treatment of Metastatic Cancer of the Throat. Patients with metastatic cancer of the throat have cancer that has spread to distant sites beyond the throat and neck region. Patients with metastatic cancer are usually treated with systemic combination chemotherapy. However, control of the primary cancer and regional lymph node spread through surgery or radiation is as important as controlling the metastases.",MARCO_1019257
31_2,31,2,Is throat cancer treatable?,5.0,0.990884006023407,"Throat cancers may be cured when detected early. If the cancer has spread (metastasized) to surrounding tissues or lymph nodes in the neck, about half of patients can be cured. If the cancer has spread to parts of the body outside the head and neck, the cancer is not curable. Treatment is aimed at prolonging and improving quality of life.",MARCO_8509630
31_2,31,2,Is throat cancer treatable?,6.0,0.9896578192710876,"Surgery for throat cancer. Surgery is the preferred treatment for early-stage throat cancers. The throat is comprised of the pharynx and the larynx. For advanced stage or recurrent throat cancer, we may combine surgery with other forms of treatment, such as radiation therapy and chemotherapy. These treatments may be used to shrink the tumor before surgery.",MARCO_4662511
31_2,31,2,Is throat cancer treatable?,7.0,0.9894408583641052,"If diagnosed early, throat cancer has a high cure rate. Throat cancer may not be curable once malignant cells spread to parts of the body beyond the neck and head. However, those diagnosed can continue treatment to prolong their life and slow the progression of the disease.",MARCO_8046970
31_2,31,2,Is throat cancer treatable?,8.0,0.9843297600746156,"Sign Up. Treatment can include some combination of surgery, radiation and chemotherapy. However, sometimes in the final stage of throat cancer itâs too advanced to be cured, so then treatment focuses on alleviating symptoms and making life as comfortable as possible.Best Answer.ign Up. Treatment can include some combination of surgery, radiation and chemotherapy. However, sometimes in the final stage of throat cancer itâs too advanced to be cured, so then treatment focuses on alleviating symptoms and making life as comfortable as possible.",MARCO_4976184
31_2,31,2,Is throat cancer treatable?,9.0,0.982001543045044,"At each of our hospitals, you'll find innovative throat cancer treatments and technologiesâall under one roof. Our throat cancer experts use state-of-the-art diagnostic tools, including advanced imaging and laboratory tests, to evaluate throat cancer. This diagnostic evaluation takes about three to five days. Then together, we develop a comprehensive throat cancer treatment plan that works for you. Your individualized plan will include advanced medical treatments and technologies, combined with integrative oncology services to help reduce side effects and keep you strong in body, mind and spirit.",MARCO_7672898
31_3,31,3,Tell me about lung cancer.,1.0,0.977781355381012,"About Lung Cancer. Non-Small Cell Lung Cancer. A group of lung cancers that are named for the kinds of cells found in the cancer and how the cells look under a microscope. The three main types of non-small cell lung cancer are squamous cell carcinoma, large cell carcinoma, and adenocarcinoma.on-small cell lung cancer is the most common kind of lung cancer... Read more about Non-Small Cell Lung Cancer. Small Cell Lung Cancer. An aggressive (fast-growing) cancer that forms in tissues of the lung and can spread to other parts of the body.",MARCO_1058736
31_3,31,3,Tell me about lung cancer.,2.0,0.969245672225952,"Lung cancer, also known as lung carcinoma, is a malignant lung tumor characterized by uncontrolled cell growth in tissues of the lung. This growth can spread beyond the lung by the process of metastasis into nearby tissue or other parts of the body. Most cancers that start in the lung, known as primary lung cancers, are carcinomas. The two main types are small-cell lung carcinoma and non-small-cell lung carcinoma. The most common symptoms are coughing, weight loss, shortness of breath, and chest",MARCO_7103363
31_3,31,3,Tell me about lung cancer.,3.0,0.9685208797454834,"About Hilar Mass. 179 discussions. About Lung Cancer. 295,192 discussions. Lung cancer is one of the most common cancers in the world. It is a leading cause of cancer death in men and women in the United States. Cigarette smoking causes most lung cancers.",MARCO_3627469
31_3,31,3,Tell me about lung cancer.,4.0,0.9621566534042358,Lung Cancer Quick Overview. Lung cancer is a group of diseases characterized by abnormal growths (cancers) that started in the lungs. Lung cancer is the leading cause of cancer deaths in women and men both in the United States and throughout the world.,MARCO_3818700
31_3,31,3,Tell me about lung cancer.,5.0,0.9616403579711914,"Get the facts on lung cancer types, symptoms, causes, treatment, and stages. Learn about treatment options for small cell lung cancer and non-small cell lung cancer. Read about the life expectancy for lung cancer.",MARCO_6914828
31_3,31,3,Tell me about lung cancer.,6.0,0.9613937139511108,"Learn more about this top honor. Lung cancer is a type of cancer that begins in the lungs. Your lungs are two spongy organs in your chest that take in oxygen when you inhale and release carbon dioxide when you exhale. Lung cancer is the leading cause of cancer deaths in the United States, among both men and women.",MARCO_4139587
31_3,31,3,Tell me about lung cancer.,7.0,0.9608758091926576,"What Is Lung Cancer? Lung cancer is the uncontrolled growth of abnormal cells in one or both lungs. These abnormal cells do not carry out the functions of normal lung cells and do not develop into healthy lung tissue. As they grow, the abnormal cells can form tumors and interfere with the functioning of the lung, which provides oxygen to the body via the blood. The Genetic Basis of Lung Cancer",MARCO_7760585
31_3,31,3,Tell me about lung cancer.,8.0,0.9570537805557252,"About Non-Small Cell Lung Cancer. Non-small cell lung cancer is a disease in which malignant (cancer) cells form in the tissues of the lung. The lungs are a pair of cone-shaped breathing organs in the chest. The lungs bring oxygen into the body as you breathe in.on-Small Cell Lung Cancer. A group of lung cancers that are named for the kinds of cells found in the cancer and how the cells look under a microscope. The three main types of non-small cell lung cancer are squamous cell carcinoma, large cell carcinoma, and adenocarcinoma.",MARCO_4149972
31_3,31,3,Tell me about lung cancer.,9.0,0.9566751718521118,"Find out about the different types of lung cancer. The type of lung cancer you have tells you the type of cell that the cancer started in. Knowing this helps your doctor decide which treatment you need. Cancer that starts in the lung is called primary lung cancer. If cancer spreads to your lungs from somewhere else in your body, this is secondary lung cancer.",MARCO_6946734
31_4,31,4,What are lung cancer's symptoms?,1.0,0.9924716949462892,"Signs and symptoms which may suggest lung cancer include: 1  Respiratory symptoms: coughing, coughing up blood, wheezing, or shortness of breath. 2  Systemic symptoms: weight loss, weakness, fever, or clubbing of the fingernails.",MARCO_3818695
31_4,31,4,What are lung cancer's symptoms?,2.0,0.9916934370994568,"Lung cancer symptoms. Early symptoms and signs of lung cancer. There may be no symptoms at the onset of the disease. When present, common symptoms of lung cancer may include: 1  Coughing: This includes a persistent cough that doesn't go away or changes to a chronic smoker's cough,â such as more coughing or pain.",MARCO_6559518
31_4,31,4,What are lung cancer's symptoms?,3.0,0.991296648979187,"Lung cancer symptoms. Early symptoms and signs of lung cancer. There may be no symptoms at the onset of the disease. When present, common symptoms of lung cancer may include: 1  Coughing: This includes a persistent cough that doesn't go away or changes to a chronic smoker's cough,â such as more coughing or pain. 2  Coughing up blood: Coughing up blood or rust-colored sputum (spit or phlegm) should always be discussed with your doctor.",MARCO_7471766
31_4,31,4,What are lung cancer's symptoms?,4.0,0.990325093269348,"Lung cancer symptoms. The early symptoms of lung cancer may be a slight cough or shortness of breath, depending on which part of the lung is affected. As the cancer develops, these symptoms may become more severe or intense. Like many other types of cancer, lung cancer may also cause systemic symptoms, like a loss of appetite or general fatigue.",MARCO_28054
31_4,31,4,What are lung cancer's symptoms?,5.0,0.9897801876068116,"Lung cancer symptoms may include: 1  Chronic, hacking, raspy coughing, sometimes with blood-streaked mucus. 2  Recurring respiratory infections, including bronchitis or pneumonia. 3  Increasing shortness of breath, wheezing, persistent chest pain.4  Hoarseness.5  Swelling of the neck and face.6  Pain and weakness in the shoulder, arm, or hand.ung cancer symptoms may include: 1  Chronic, hacking, raspy coughing, sometimes with blood-streaked mucus. 2  Recurring respiratory infections, including bronchitis or pneumonia. 3  Increasing shortness of breath, wheezing, persistent chest pain. 4  Hoarseness. 5  Swelling of the neck and face. 6  Pain and weakness in the shoulder, arm, or hand.",MARCO_6661769
31_4,31,4,What are lung cancer's symptoms?,6.0,0.9897168278694152,"Lung cancer is classified histologically into small cell and nonâsmall cell lung cancers. The most common symptoms of lung cancer are cough, dyspnea, hemoptysis, and systemic symptoms such as weight loss and anorexia. High-risk patients who present with symptoms should undergo chest radiography. If a likely alternative diagnosis is not identi-",MARCO_8025747
31_4,31,4,What are lung cancer's symptoms?,7.0,0.9896098375320436,"Lung cancer symptoms The early symptoms of lung cancer may be a slight cough or shortness of breath, depending on which part of the lung is affected. As the cancer develops, these symptoms may become more severe or intense. Like many other types of cancer, lung cancer may also cause systemic symptoms, like a loss of appetite or general fatigue.",MARCO_353890
31_4,31,4,What are lung cancer's symptoms?,8.0,0.9889423847198486,"Signs and symptoms of lung cancer may include: 1  A new cough that doesn't go away. 2  Changes in a chronic cough or smoker's cough. 3  Coughing up blood, even a small amount. 4  Shortness of breath.5  Chest pain. 6  Wheezing. 7  Hoarseness. 8  Losing weight without trying.9  Bone pain.10  Headache.igns and symptoms of lung cancer may include: 1  A new cough that doesn't go away. 2  Changes in a chronic cough or smoker's cough. 3  Coughing up blood, even a small amount. 4  Shortness of breath. 5  Chest pain. 6  Wheezing. 7  Hoarseness. 8  Losing weight without trying. 9  Bone pain. 10  Headache.",MARCO_6661766
